University Name,Arts course cut down,lat,lon
West Virginia University (WVU),28,39.648,-79.9698
"Syracuse University, New York",93,43.0392,-76.1351
Missouri Western State University,50,39.7743,-94.783
SUNY Potsdam in far northern New York,14,44.6695,-74.9813
Miami University of Ohio,18,39.5106,-84.7313
University of Technology,26,-33.8836,151.2007
Macquarie University,42,-33.7751,151.1126
University of Tasmania,13,-42.905,147.324
Southern Cross University,22,-28.8216,153.2977
University of Wollongong ,25,-34.4051,150.8781
Queensland University of Technology,7,-27.4778,153.0281
Australian National University,59,-35.2777,149.1185
University of Sydney,50,-33.8886,151.1873
"Goldsmiths, University of London",90,51.4748,-0.0365
University of Kent ,58,51.2969,1.0649
Yale University,4,41.3163,-72.9223
Leiden University,60,52.1663,4.4816
"Saint Mary's University, Halifax ",77,44.6317,-63.5805
Penn State University,49,40.7982,-77.8599
Beijing’s Communication University of China,16,39.9147,116.5545
Sichuan University ,39,30.6355,104.0838
East China Normal University,24,31.0284,121.438
University of Leicester,12,52.6214,-1.1248
London Metropolitan University,100,51.5517,-0.1097
University of Nottingham,40,52.9386,-1.1955
Queen Mary University of London,295,51.5246,-0.0404
Utrecht University,85,52.0853,5.1731
McGill University,100,45.5048,-73.5772
University of Chicago,15,41.7886,-87.5987
University of Utah,30,40.7649,-111.8421
Our Lady of the Lake University,16,29.4258,-98.5434
